Name,Nation,Club,League,OVR,POT,Age,Height,Weight,Position,Reputation,Value,Wage
Eroll Zejnullahu,Kosovo , SpVgg Bayreuth , Germany 3. Liga (3),63,63,27,180cm,74kg,"CM, CAM, RM",1,£450K,£600
Ben House,Scotland , Lincoln City , England League One (3),63,68,23,180cm,74kg,ST,1,£650K,£2.1K
Elyas Bouzaiene,Sweden , Degerfors IF , Sweden Allsvenskan (1),62,67,24,180cm,74kg,"RWB, RB",1,£500K,£600
Juan Duran,Spain , CD Mirandes , Spain Segunda Division (2),62,69,21,180cm,74kg,LWB,1,£700K,£1K
Antonio Foti,Cyprus , Hannover 96 , Germany 2. Bundesliga (2),61,77,18,180cm,74kg,"CM, RM, CAM",1,£300K,£1.5K
Duccio Degli Innocenti,Italy , Empoli , Italy Serie A (1),61,78,19,180cm,74kg,"CDM, CM",1,£275K,£850
Ronan Boyce,Republic of Ireland , Derry City , Rep. Ireland Premier Division (1),60,71,21,180cm,74kg,"RB, RWB",1,£475K,£500
Cameron McJannet,England , Derry City , Rep. Ireland Premier Division (1),60,69,23,180cm,74kg,"CB, LB",1,£450K,£500
Diego Gonzalez,Argentina , Union de Santa Fe , Argentina Primera Division (1),60,72,19,180cm,74kg,GK,1,£450K,£600
Levi Sutton,England , Harrogate Town , England League Two (4),61,63,25,180cm,74kg,"CDM, CM",1,£325K,£1.5K
Tim Civeja,Germany , FC Ingolstadt 04 , Germany 3. Liga (3),61,75,20,180cm,74kg,CM,1,£700K,£1.1K
Luke McCormick,England , Bristol Rovers , England League One (3),62,66,23,180cm,74kg,"CM, CAM",1,£500K,£1.7K
Angelo Mina,Ecuador , , ,62,66,23,180cm,74kg,"CM, CDM",1,£500K,£500
Sekou Sylla,Guinea , SC Cambuur , Holland Eredivisie (1),63,70,23,180cm,74kg,LB,1,£825K,£1.5K
Yan Dinghao,China PR , Wuhan Three Towns , China Super League (1),63,68,24,180cm,74kg,"CM, CDM, CAM",1,£650K,£3.1K
Rodrigo Andrade,Portugal , Maritimo , Portugal Primeira Liga (1),64,76,20,180cm,74kg,CM,1,£1.3M,£1.7K
Carlos Martin,Spain , Atletico de Madrid , Spain Primera Division (1),64,77,20,180cm,74kg,"ST, RW",1,£1.3M,£7.3K
Nawaf Al Subhi,Saudi Arabia , Al Adalah , Saudi Pro League (1),64,64,32,180cm,74kg,CB,1,£350K,£4K
Luis Enrique Hurtado,Bolivia , , ,64,64,28,180cm,74kg,"LM, RM, CM",1,£525K,£500
Mandela Egbo,England , Charlton Athletic , England League One (3),65,68,25,180cm,74kg,RB,1,£775K,£2.6K
Lautaro Rios,Argentina , Banfield , Argentina Primera Division (1),65,75,21,180cm,74kg,"CM, CDM",1,£1.4M,£2.6K
Sean McConville,England , Accrington Stanley , England League One (3),65,65,33,180cm,74kg,"LWB, LM",1,£325K,£1.4K
Vitalie Damascan,Moldova , FC Voluntari , Romania Liga I (1),65,72,23,180cm,74kg,"ST, RW, CF",1,£1.3M,£3.1K
Louie Sibley,England , Derby County , England League One (3),65,74,20,180cm,74kg,"CAM, LB",1,£1.4M,£1.5K
Roope Riski,Finland , HJK Helsinki , Rest of World,66,66,31,180cm,74kg,ST,1,£650K,£6.5K
Ufuk Akyol,Germany , Antalyaspor , Turkey S√ºper Lig (1),66,70,25,180cm,74kg,"CDM, CM",1,£975K,£5.8K
Tayfur Bingol,Turkey , Be_ikta_ , Turkey S√ºper Lig (1),67,67,29,180cm,74kg,"LB, LM, RB",1,£800K,£13K
Erick Ferigra,Ecuador , Pacos de Ferreira , Portugal Primeira Liga (1),67,76,23,180cm,74kg,CB,1,£1.9M,£2.7K
Gianfranco Chavez,Peru , Sporting Cristal , CONMEBOL Libertadores,68,73,24,180cm,74kg,"CB, RB",1,£1.5M,£5.9K
Bas Kuipers,Netherlands , Go Ahead Eagles , Holland Eredivisie (1),69,69,28,180cm,74kg,LB,1,£1.1M,£4.2K
Renaldo Justinho,Brazil , America Mineiro , CONMEBOL Libertadores,69,69,26,180cm,74kg,"CAM, LM",1,£1.4M,£5.3K
Jake Livermore,England , West Bromwich Albion , England Championship (2),70,70,32,180cm,74kg,"CDM, CM",1,£950K,£15.5K
Arnaud Lusamba,DR Congo , Alanyaspor , Turkey S√ºper Lig (1),71,74,25,180cm,74kg,"CM, CDM",1,£2.2M,£12K
Filippo Bandinelli,Italy , Empoli , Italy Serie A (1),73,73,27,180cm,74kg,CM,1,£2.9M,£8.9K
Jorge Praceira,Brazil , Palmeiras , CONMEBOL Libertadores,73,73,30,180cm,74kg,CB,1,£2.2M,£17.5K
Pasquale Mazzocchi,Italy , Salernitana , Italy Serie A (1),73,74,27,180cm,74kg,"RWB, LM, RM",1,£2.9M,£17.5K
Kristoffer Zachariassen,Norway , Ferencvarosi TC , Rest of World,74,74,28,180cm,74kg,"CAM, CDM",1,£3.8M,£19K
Frenkie de Jong,Netherlands , FC Barcelona , Spain Primera Division (1),87,92,25,180cm,74kg,CM,3,£104.5M,£210K
Marciano,Guinea Bissau , UD Almeria , Spain Primera Division (1),59,79,18,180cm,74kg,ST,1,£550K,£1.5K
Lucas Soto,Chile , Colo-Colo , CONMEBOL Libertadores,58,70,19,180cm,74kg,CM,1,£425K,£1.7K
Yacine El Amri,Morocco , Valenciennes FC , France Ligue 2 (2),57,71,18,180cm,74kg,RM,1,£350K,£500
Farukh Choudhary,India , Jamshedpur FC , Indian Super League (1),56,57,25,180cm,74kg,"LM, RM, ST",1,£150K,£2.2K
Vincent Pichel,Netherlands , SC Cambuur , Holland Eredivisie (1),57,67,20,180cm,74kg,CM,1,£325K,£1.1K
Julen,Spain , CD Lugo , Spain Segunda Division (2),58,66,23,180cm,74kg,GK,1,£350K,£801
Jakub Sypek,Poland , Widzew Aodz , Poland Ekstraklasa (1),59,69,21,180cm,74kg,"RM, CF, CAM",1,£450K,£751
Thomas Liene Ness,Norway , FK Jerv , Norway Eliteserien (1),55,60,23,180cm,74kg,CM,1,£170K,£600
Luis Paredes,Colombia , , ,55,70,21,180cm,74kg,RW,1,£275K,£500
Jacob Slater,Republic of Ireland , Preston North End , England Championship (2),56,76,17,180cm,74kg,"LWB, LB",1,£325K,£500
Zinedine Labyad,France , Grenoble Foot 38 , France Ligue 2 (2),56,64,22,180cm,74kg,"LM, RW",1,£300K,£1K
Nando Toggenburger,Switzerland , FC Luzern , Switzerland Super League (1),53,71,18,180cm,74kg,ST,1,£90K,£901
Attilio Morosoli,Switzerland , FC Lugano , Switzerland Super League (1),52,68,17,180cm,74kg,GK,1,£50K,£500
Monotosh Chakladar,India , Chennaiyin FC , Indian Super League (1),51,56,24,180cm,74kg,"LB, CB",1,£70K,£2.1K
Harrison Nee,England , Coventry City , England Championship (2),54,70,19,180cm,74kg,ST,1,£110K,£1.9K
Jake Burton,England , Tranmere Rovers , England League Two (4),55,61,20,180cm,74kg,ST,1,£180K,£1.8K
Park Yong Hui,Korea Republic , Daegu FC , Korea K League 1 (1),51,58,20,180cm,74kg,"RW, LW, ST",1,£100K,£1K
Ajani Fortune,Trinidad and Tobago , Atlanta United FC , USA Major League Soccer (1),47,58,19,180cm,74kg,CM,1,£90K,£600
Piotr Zielinski,Poland , Napoli , Italy Serie A (1),83,83,28,180cm,75kg,"CAM, CM",3,£33M,£70K
Nuno Padrenda,Brazil , Atletico Mineiro , CONMEBOL Libertadores,81,81,26,180cm,75kg,"CAM, CF, ST",1,£25.5M,£33.5K
Nathan Ake,Netherlands , Manchester City , England Premier League (1),80,81,27,180cm,75kg,"CB, LB",3,£23.5M,£100K
David Raum,Germany , RB Leipzig , Germany 1. Bundesliga (1),79,84,24,180cm,75kg,"LB, LWB, LM",2,£22.5M,£38.5K
Boulaye Dia,Senegal , Salernitana , Italy Serie A (1),79,82,25,180cm,75kg,"ST, LW, CF",1,£21M,£31K
Karim Adeyemi,Germany , Borussia Dortmund , Germany 1. Bundesliga (1),78,87,20,180cm,75kg,"LM, RM, ST",1,£28M,£29.5K
Danilo D'Ambrosio,Italy , Inter , Italy Serie A (1),77,77,33,180cm,75kg,CB,2,£4.5M,£45.5K
Deiver Machado,Colombia , RC Lens , France Ligue 1 (1),75,75,28,180cm,75kg,"LWB, LB",1,£4.6M,£24.5K
Jorge Figal,Argentina , Boca Juniors , Argentina Primera Division (1),75,75,28,180cm,75kg,"CB, RB",1,£4.4M,£14K
Benjamin Meseira,Brazil , Athletico Paranaense , CONMEBOL Libertadores,74,74,26,180cm,75kg,RB,1,£3.8M,£10.5K
Ivan Jaime,Spain , Famalicao , Portugal Primeira Liga (1),74,82,21,180cm,75kg,"LM, CAM, ST",1,£8.5M,£6.2K
Cedric Brunner,Switzerland , FC Schalke 04 , Germany 1. Bundesliga (1),74,74,28,180cm,75kg,"RB, CB",1,£3.4M,£18.5K
Khaled Narey,Germany , PAOK , Rest of World,74,74,28,180cm,75kg,"RW, RB",1,£3.8M,£26K
Ricardo Ade,Haiti , LDU Quito , CONMEBOL Sudamericana,73,73,32,180cm,75kg,CB,1,£1.8M,£15.5K
Keito Nakamura,Japan , LASK , Austria Bundesliga (1),73,80,22,180cm,75kg,"LM, LW",1,£5.5M,£17K
Sandi Lovric,Slovenia , Udinese , Italy Serie A (1),73,78,24,180cm,75kg,"CM, CDM",1,£4.1M,£11K
Tom Lawrence,Wales , Rangers , Scotland Premiership (1),73,73,28,180cm,75kg,"LW, ST, CAM",1,£2.8M,£40K
Alessandro Diamanti,Italy , Western United FC , Australia A-League (1),73,73,39,180cm,75kg,CAM,1,£900K,£2.9K
Gaius Makouta,Congo , Boavista , Portugal Primeira Liga (1),72,77,25,180cm,75kg,"CM, CAM",1,£3.1M,£9.6K
Alminho Boas,Brazil , Atletico Mineiro , CONMEBOL Libertadores,72,72,26,180cm,75kg,"CDM, CM, CB",1,£2M,£15.5K
Hugo Magnetti,France , Stade Brestois 29 , France Ligue 1 (1),72,76,24,180cm,75kg,"CDM, CM",1,£2.8M,£11.5K
Muhamed Besic,Bosnia Herzegovina , Ferencvarosi TC , Rest of World,72,72,29,180cm,75kg,"CDM, RB",2,£1.8M,£14.5K
Issiaga Sylla,Guinea , Montpellier HSC , France Ligue 1 (1),72,72,28,180cm,75kg,"LB, LWB, RB",1,£1.9M,£14.5K
Jodel Dossou,Benin , FC Sochaux , France Ligue 2 (2),71,71,30,180cm,75kg,RM,1,£1.6M,£5K
DeJuan Jones,United States , New England Revolution , USA Major League Soccer (1),71,76,25,180cm,75kg,"LB, RB",1,£2.3M,£4.5K
Emanuel Olivera,Argentina , Banfield , Argentina Primera Division (1),71,71,32,180cm,75kg,CB,1,£1.1M,£8.3K
Steven Alzate,Colombia , Standard Liege , Belgium Pro League (1),71,78,23,180cm,75kg,"CM, CDM",1,£3.4M,£8.3K
Callum O'Dowda,Republic of Ireland , Cardiff City , England Championship (2),70,70,27,180cm,75kg,"LM, LW, LB",1,£1.5M,£16.5K
Mohamed Drager,Tunisia , FC Luzern , Switzerland Super League (1),70,73,26,180cm,75kg,"RB, RWB",1,£1.7M,£7.3K
Ado Onaiwu,Japan , Toulouse FC , France Ligue 1 (1),70,71,26,180cm,75kg,"ST, LW",1,£1.7M,£10.5K
Claud Adjapong,Italy , Ascoli , Italy Serie B (2),70,75,24,180cm,75kg,"RB, RWB, RM",1,£2M,£2.2K
Juan Ramirez,Uruguay , Nacional de Montevideo , CONMEBOL Libertadores,70,73,25,180cm,75kg,ST,1,£1.9M,£9.9K
Kevin Nisbet,Scotland , Hibernian , Scotland Premiership (1),70,73,25,180cm,75kg,ST,1,£1.9M,£5K
Riccardo Gagliolo,Sweden , Reggina , Italy Serie B (2),70,70,32,180cm,75kg,"CB, LWB, LB",1,£925K,£1.7K
Andy Yiadom,Ghana , Reading , England Championship (2),70,70,30,180cm,75kg,"RWB, CB, RB",1,£1.2M,£9.4K
Leonidas Stergiou,Switzerland , FC St. Gallen , Switzerland Super League (1),69,84,20,180cm,75kg,CB,1,£2.8M,£3.4K
Will Vaulks,Wales , Sheffield Wednesday , England League One (3),69,69,28,180cm,75kg,"CDM, CM",1,£1.1M,£6.2K
Tyler Roberts,Wales , Queens Park Rangers , England Championship (2),69,72,23,180cm,75kg,"RW, CAM, CM",1,£1.7M,£13.5K
Rhian Brewster,England , Sheffield United , England Championship (2),69,78,22,180cm,75kg,ST,1,£2.8M,£11.5K
Andrei Cordea,Romania , FCSB , Romania Liga I (1),69,77,23,180cm,75kg,RW,1,£2.8M,£6.9K
Sevinho Santos,Brazil , Fortaleza , CONMEBOL Libertadores,69,69,22,180cm,75kg,"ST, CF",1,£1.5M,£5.1K
Jonathan Dubasin,Belgium , Albacete Balompie , Spain Segunda Division (2),69,76,22,180cm,75kg,"RM, ST",1,£2.5M,£3.5K
Gonzalo Gonzalez,Uruguay , Cienciano , CONMEBOL Sudamericana,68,68,28,180cm,75kg,"CDM, CM",1,£950K,£7.1K
Nicolas Leguizamon,Argentina , Central Cordoba , Argentina Primera Division (1),68,68,27,180cm,75kg,ST,1,£1.2M,£5.6K
Etienne Amenyido,Togo , FC St. Pauli , Germany 2. Bundesliga (2),68,73,24,180cm,75kg,"ST, LM, RM",1,£1.7M,£6.5K
Arial Mendy,Senegal , Grenoble Foot 38 , France Ligue 2 (2),68,68,27,180cm,75kg,"LB, LWB",1,£1000K,£2.6K
Moritz Stoppelkamp,Germany , MSV Duisburg , Germany 3. Liga (3),68,68,35,180cm,75kg,LM,1,£450K,£2.5K
Heitor Mutto,Brazil , , ,67,67,30,180cm,75kg,"CAM, LW",1,£875K,£500
Jevani Brown,Jamaica , Exeter City , England League One (3),67,67,27,180cm,75kg,"ST, CAM",1,£1000K,£3.4K
Marius Marin,Romania , Pisa , Italy Serie B (2),67,72,24,180cm,75kg,"CM, CDM",1,£1.4M,£1.5K
Paulo Bernardo,Portugal , Pacos de Ferreira , Portugal Primeira Liga (1),67,81,20,180cm,75kg,CM,1,£2.2M,£2.5K
Anthony Baron,France , Servette FC , Switzerland Super League (1),67,67,29,180cm,75kg,"LB, CB",1,£800K,£5.4K
Ibrahim Mustapha,Ghana , LASK , Austria Bundesliga (1),67,73,22,180cm,75kg,"ST, LM",1,£1.5M,£7.7K
Urena,Spain , FC Cartagena , Spain Segunda Division (2),67,78,19,180cm,75kg,"LM, RM, ST",1,£2M,£1.7K
David Kiki,Benin , Farul Constana , Romania Liga I (1),67,67,28,180cm,75kg,"LB, RB",1,£825K,£3.6K
Kearyn Baccus,Australia , Macarthur FC , Australia A-League (1),67,67,30,180cm,75kg,"CDM, CM",1,£775K,£1.6K
Li Shuai,China PR , Shanghai Port , China Super League (1),67,68,27,180cm,75kg,"LB, LWB, LM",1,£975K,£6.7K
Martin S. Ellingsen,Norway , Molde FK , Norway Eliteserien (1),67,68,27,180cm,75kg,"CDM, CB",1,£950K,£2.2K
Zheng Zhi,China PR , Guangzhou FC , China Super League (1),67,67,42,180cm,75kg,"CDM, CM",1,£80K,£2.5K
Derrick Williams,Republic of Ireland , D.C. United , USA Major League Soccer (1),67,67,29,180cm,75kg,CB,1,£775K,£2.6K
Ahmet Engin,Turkey , Kas1mpa_a , Turkey S√ºper Lig (1),66,67,26,180cm,75kg,"LM, RM",1,£900K,£4K
Dairon Asprilla,Colombia , Portland Timbers , USA Major League Soccer (1),66,66,30,180cm,75kg,"LM, RM",1,£750K,£2.3K
Quentin Maceiras,Switzerland , BSC Young Boys , Switzerland Super League (1),66,67,26,180cm,75kg,"RB, LB",1,£825K,£5.3K
Adri Castellano,Spain , SD Ponferradina , Spain Segunda Division (2),66,66,28,180cm,75kg,"LB, CB",1,£700K,£2.6K
Ben Lederman,Poland , Rakow Czstochowa , Poland Ekstraklasa (1),66,77,22,180cm,75kg,"CM, CF",1,£1.7M,£3K
Miguel Puche,Spain , Real Zaragoza , Spain Segunda Division (2),66,76,21,180cm,75kg,"LM, ST, RM",1,£1.7M,£2.2K
Leandro Fleitas,Argentina , , ,66,66,38,180cm,75kg,"RB, CB",1,£170K,£500
Emiliano Bermudez,Uruguay , , ,66,70,25,180cm,75kg,GK,1,£850K,£500
Amadou Mbengue,Senegal , Reading , England Championship (2),66,75,20,180cm,75kg,"CB, CDM, RWB",1,£1.6M,£3.5K
Felipe Pena Biafore,Argentina , Arsenal de Sarandi , Argentina Primera Division (1),66,74,21,180cm,75kg,"CB, CDM",1,£1.6M,£1.9K
Festy Ebosele,Republic of Ireland , Udinese , Italy Serie A (1),66,78,20,180cm,75kg,"RM, RWB",1,£1.9M,£3.3K
Marco Moscati,Italy , Sudtirol , Italy Serie B (2),66,66,29,180cm,75kg,"CM, CDM, RM",1,£750K,£1.2K
Gabrijel Rukavina,Croatia , Dinamo Zagreb , Rest of World,65,82,18,180cm,75kg,"LW, LM, RW",1,£675K,£2.1K
Ruyeri Blanco,Colombia , Delfin SC , CONMEBOL Sudamericana,65,72,23,180cm,75kg,ST,1,£1.3M,£3.5K
Giorgio Cittadini,Italy , Modena , Italy Serie B (2),65,80,20,180cm,75kg,CB,1,£1.5M,£701
Jasper Loffelsend,Germany , Real Salt Lake , USA Major League Soccer (1),65,69,24,180cm,75kg,"CDM, RM",1,£850K,£1.6K
Bissenty Mendy,Senegal , FC Annecy , France Ligue 2 (2),65,65,31,180cm,75kg,CB,1,£450K,£1.3K
Enrico Baldini,Italy , Cittadella , Italy Serie B (2),65,67,25,180cm,75kg,"ST, CAM",1,£825K,£900
Marc Schnatterer,Germany , SV Waldhof Mannheim , Germany 3. Liga (3),65,65,36,180cm,75kg,"LM, RM",1,£210K,£1.2K
Callum Booth,Scotland , St. Johnstone , Scotland Premiership (1),65,65,31,180cm,75kg,LWB,1,£475K,£1.8K
Louis Thompson,Wales , Portsmouth , England League One (3),65,65,27,180cm,75kg,"CM, CDM",1,£675K,£3.2K
Mohammed Salem,Saudi Arabia , Al Raed , Saudi Pro League (1),65,65,37,180cm,75kg,"CB, RB",1,£120K,£3K
Adama Diomande,Norway , Toronto FC , USA Major League Soccer (1),65,65,32,180cm,75kg,ST,1,£525K,£2.2K
Ernest Muci,Albania , Legia Warszawa , Poland Ekstraklasa (1),65,76,21,180cm,75kg,"ST, CAM, CF",1,£1.5M,£2.1K
Julian Guttau,Germany , SC Freiburg II , Germany 3. Liga (3),65,72,22,180cm,75kg,LM,1,£1.3M,£1.1K
Daniel Mikic,Germany , SC Verl , Germany 3. Liga (3),65,65,30,180cm,75kg,CB,1,£525K,£651
Lucas Buades,France , Rodez Aveyron Football , France Ligue 2 (2),64,67,24,180cm,75kg,"RWB, RM",1,£675K,£1K
Joel Nilsson,Sweden , Hammarby IF , Sweden Allsvenskan (1),64,64,28,180cm,75kg,"RW, RB",1,£525K,£1.9K
Kristian Dennis,England , Carlisle United , England League Two (4),64,64,32,180cm,75kg,ST,1,£425K,£3.2K
Richet Gomez,Bolivia , , ,64,73,23,180cm,75kg,"CDM, CB",1,£1.1M,£500
Theo Archibald,Scotland , Leyton Orient , England League Two (4),64,67,24,180cm,75kg,RM,1,£725K,£3.1K
Leonardo Marchi,Argentina , Arsenal de Sarandi , Argentina Primera Division (1),64,67,25,180cm,75kg,LB,1,£650K,£2.1K
George Maris,England , Mansfield Town , England League Two (4),64,66,26,180cm,75kg,"CDM, CM",1,£575K,£3.9K
Raul Caceres,Paraguay , , ,64,64,30,180cm,75kg,RB,1,£450K,£500
Lohann Doucet,France , FC Nantes , France Ligue 1 (1),64,74,19,180cm,75kg,"CDM, CM",1,£1.1M,£2.4K
Ivan Morante,Spain , UD Ibiza , Spain Segunda Division (2),64,73,21,180cm,75kg,"CM, CDM",1,£1.2M,£1.3K
Lukas Fridrikas,Austria , Austria Lustenau , Austria Bundesliga (1),64,69,24,180cm,75kg,"ST, CAM, RM",1,£800K,£2K
Naim Garcia,Spain , SD Ponferradina , Spain Segunda Division (2),64,76,20,180cm,75kg,"RM, LM",1,£1.3M,£1.6K
Agyemang Diawusie,Germany , SpVgg Bayreuth , Germany 3. Liga (3),64,67,24,180cm,75kg,"RM, LM",1,£725K,£551
Mohammed Abusabaan,Saudi Arabia , Al Fayha , Saudi Pro League (1),63,63,32,180cm,75kg,"CDM, CM",1,£300K,£4.2K
Victor Ulloa,Mexico , Inter Miami , USA Major League Soccer (1),63,63,30,180cm,75kg,"CDM, CM, RB",1,£350K,£1.5K
George Ganea,Romania , FC U Craiova 1948 , Romania Liga I (1),63,71,23,180cm,75kg,"ST, RW, LW",1,£975K,£2.5K
John McAtee,England , Grimsby Town , England League Two (4),63,70,23,180cm,75kg,"CAM, ST",1,£875K,£1.8K
Javi Rubio,Spain , CD Leganes , Spain Segunda Division (2),63,70,23,180cm,75kg,"RB, RM",1,£825K,£1.8K
Juanito Alfonso,Paraguay , General Caballero (JLM) , CONMEBOL Sudamericana,63,63,32,180cm,75kg,GK,1,£300K,£2.3K
Gianni Cassaro,Spain , Villarreal B , Spain Segunda Division (2),63,63,30,180cm,75kg,GK,1,£300K,£1.2K
Tihomir Kostadinov,FYR Macedonia , Piast Gliwice , Poland Ekstraklasa (1),63,64,26,180cm,75kg,"CAM, ST",1,£500K,£2.1K
Jacob Farrell,Australia , Central Coast Mariners , Australia A-League (1),63,74,19,180cm,75kg,"LB, CB",1,£900K,£500
Ousmane Camara,Guinea , AJ Auxerre , France Ligue 1 (1),62,71,20,180cm,75kg,ST,1,£800K,£2.6K
Jorge Sanguina,Paraguay , General Caballero (JLM) , CONMEBOL Sudamericana,62,69,23,180cm,75kg,ST,1,£725K,£2.7K
Callum Camps,Northern Ireland , Stockport County , England League Two (4),62,63,26,180cm,75kg,"CM, CDM",1,£425K,£2.8K
Alassane Ndiaye,France , AC Ajaccio , France Ligue 1 (1),62,62,31,180cm,75kg,"RM, LM, CAM",1,£300K,£3.1K
Moritz Heinrich,Germany , SpVgg Bayreuth , Germany 3. Liga (3),62,65,25,180cm,75kg,"RM, RB, LM",1,£475K,£500
Frederik Gytkjaer,Denmark , Lyngby BK , Denmark Superliga (1),62,62,29,180cm,75kg,ST,1,£350K,£2.3K
Steffen Lie Skalevik,Norway , Sarpsborg 08 , Norway Eliteserien (1),62,62,29,180cm,75kg,ST,1,£350K,£1.1K
Lautaro Rinaldi,Argentina , WSG Tirol , Austria Bundesliga (1),62,62,28,180cm,75kg,ST,1,£375K,£2.3K
Gavan Holohan,Republic of Ireland , Grimsby Town , England League Two (4),62,62,30,180cm,75kg,CM,1,£350K,£1.9K
Ryan Johansson,Republic of Ireland , Sevilla FC , Spain Primera Division (1),62,72,21,180cm,75kg,"RB, RM",1,£775K,£2.6K
Dennis Adeniran,England , Sheffield Wednesday , England League One (3),62,67,23,180cm,75kg,"CM, CDM",1,£550K,£2.2K
Harrison Ashby,Scotland , Newcastle United , England Premier League (1),62,74,20,180cm,75kg,"RB, RWB",1,£825K,£7.4K
Ciaron Harkin,Northern Ireland , Derry City , Rep. Ireland Premier Division (1),61,61,26,180cm,75kg,"CM, CDM",1,£325K,£600
Ronaldo Damus,Haiti , GIF Sundsvall , Sweden Allsvenskan (1),61,70,22,180cm,75kg,ST,1,£675K,£601
Castrin,Spain , CD Lugo , Spain Segunda Division (2),61,74,19,180cm,75kg,CB,1,£650K,£701
Tomas Muro,Argentina , Gimnasia y Esgrima La Plata , Argentina Primera Division (1),61,71,20,180cm,75kg,"RM, CM, LM",1,£650K,£1.9K
Adrian Danek,Poland , Korona Kielce , Poland Ekstraklasa (1),61,61,28,180cm,75kg,"RB, RWB",1,£275K,£801
Manuel Garcia,Argentina , Sarmiento , Argentina Primera Division (1),61,70,23,180cm,75kg,"CDM, CM",1,£625K,£1.5K
Alfie Devine,England , Tottenham Hotspur , England Premier League (1),61,84,18,180cm,75kg,"CAM, LW",1,£300K,£3.7K
Jesus Fernandez,Spain , CD Lugo , Spain Segunda Division (2),61,69,22,180cm,75kg,CB,1,£625K,£1.1K
Khalifa Al Dawsari,Saudi Arabia , Al Hilal , Saudi Pro League (1),60,66,23,180cm,75kg,"CB, LB",1,£325K,£3.9K
Abo Eisa,Sudan , Bradford City , England League Two (4),60,60,26,180cm,75kg,"ST, LM",1,£250K,£3.2K
Vlad Pop,Romania , CS Mioveni , Romania Liga I (1),60,70,22,180cm,75kg,CM,1,£500K,£850
Aaron Zehnter,Germany , FC Augsburg , Germany 1. Bundesliga (1),60,81,17,180cm,75kg,"LB, LM",1,£200K,£500
Nicolas Mancilla,Chile , Nublense , CONMEBOL Sudamericana,60,60,28,180cm,75kg,CB,1,£190K,£3.2K
Louis Mouton,France , AS Saint-Etienne , France Ligue 2 (2),59,68,20,180cm,75kg,CM,1,£450K,£1K
Llinares,Spain , CA Osasuna , Spain Primera Division (1),59,68,23,180cm,75kg,LB,1,£425K,£2.9K
Taylor Luvambo,France , En Avant Guingamp , France Ligue 2 (2),59,68,23,180cm,75kg,"RWB, RM, RB",1,£425K,£1K
Albin Lohikangas,Sweden , IFK Varnamo , Sweden Allsvenskan (1),59,65,24,180cm,75kg,LB,1,£300K,£500
Hugo Sotelo,Spain , RC Celta de Vigo , Spain Primera Division (1),59,74,18,180cm,75kg,RM,1,£475K,£1.1K
Asqer Afrden,China PR , Mjallby AIF , Sweden Allsvenskan (1),59,71,18,180cm,75kg,"LW, LM, ST",1,£475K,£500
Luka Vrbancic,Croatia , Dinamo Zagreb , Rest of World,60,81,17,180cm,75kg,"CM, CAM",1,£220K,£500
Milan Smit,Netherlands , SC Cambuur , Holland Eredivisie (1),60,70,19,180cm,75kg,"ST, LW, RW",1,£475K,£950
Raul Arias,Spain , SD Ponferradina , Spain Segunda Division (2),60,70,19,180cm,75kg,ST,1,£475K,£950
Troncho,Spain , SD Eibar , Spain Segunda Division (2),61,72,19,180cm,75kg,RM,1,£650K,£950
Jordan Flores,England , Bohemians , Rep. Ireland Premier Division (1),61,63,26,180cm,75kg,CDM,1,£325K,£551
Fan Yunlong,China PR , Guangzhou City , China Super League (1),62,62,33,180cm,75kg,"CM, CDM, LWB",1,£220K,£1.9K
Owen Gene,France , Amiens SC , France Ligue 2 (2),62,79,19,180cm,75kg,RWB,1,£350K,£601
Justin-Noel Kalumba,France , Angers SCO , France Ligue 1 (1),62,78,17,180cm,75kg,"LWB, RW",1,£325K,£500
Valerio Mastrantonio,Italy , Cittadella , Italy Serie B (2),62,69,23,180cm,75kg,CM,1,£725K,£550
Blaz Vrhovec,Slovenia , Gornik Zabrze , Poland Ekstraklasa (1),62,62,30,180cm,75kg,CM,1,£350K,£1.5K
Gian Filippo Felicioli,Italy , Cittadella , Italy Serie B (2),63,67,24,180cm,75kg,LB,1,£575K,£551
Javi Cueto,Spain , Atletico de Madrid , Spain Primera Division (1),63,73,21,180cm,75kg,ST,1,£975K,£6.6K
Daniele Donnarumma,Italy , Cittadella , Italy Serie B (2),64,64,30,180cm,75kg,LB,1,£450K,£700
Rami Hajal,Sweden , sc Heerenveen , Holland Eredivisie (1),65,77,20,180cm,75kg,"CAM, CM",1,£1.5M,£1.6K
Mikkel Maigaard,Denmark , Sarpsborg 08 , Norway Eliteserien (1),65,66,26,180cm,75kg,"CM, RM, CAM",1,£750K,£1.3K
Abdoulaye Sylla,Guinea , Seraing , Belgium Pro League (1),65,72,22,180cm,75kg,"CB, RB",1,£1.2M,£3K
Jean-Jacques Danley,Haiti , FC Metz , France Ligue 2 (2),65,78,22,180cm,75kg,"CDM, CM",1,£1.5M,£1.7K
Nikolas Veratschnig,Austria , Wolfsberger AC , Austria Bundesliga (1),65,76,19,180cm,75kg,"RWB, CM, RB",1,£1.3M,£1.9K
Yusuf Bamidele,Nigeria , Estoril , Portugal Primeira Liga (1),65,74,21,180cm,75kg,LW,1,£1.4M,£1.8K
Trai Hume,Northern Ireland , Sunderland , England Championship (2),66,74,20,180cm,75kg,"RB, RWB",1,£1.6M,£3.2K
